 Point,Depth,Nymphea odorata   (White Water Lily) ,Nuphar advena  (Yellow Water Lily),Myriophyllum spicatum (Eurasian Water Milfoil),Myriophyllum exalbescens (Northern Water Milfoil),Ceratophyllum echinatum  (Coontail),Potamogeton crispus (Curly Leaf Pondweed),Potamogeton foliosus  (Leafy Pondweed),Potamogeton zosteriformis (Flatstem Pondweed)
13,1.3,,,,,,,,
5,2.3,3,,,,,,,
4,2.3,4,,,,,,,
11,3.3,3,2,,,,,,
12,3.8,4,,,,,,,
2,2.1,1,,,,,,,
1,2,5,,,,,,,
17,4.5,,,,,,,,
68,2,4,,,,,1,,
67,4,,,,,,,,
57,3.8,,,,,,,,
58,1.9,4,,,,,,,
48,1.5,4,,,,,,2,
38,1.3,,,,,,,,
29,2.3,,,,,,,,
21,1.5,,,,,,,,
22,2.6,,5,,,,,,
14,2,5,,,,,,,
6,2.8,3,,,,,,,
15,3,4,,,,,,,
24,4,,,,,,,,
16,2.5,4,,,,,,,
8,1.5,3,1,1,,,,,
0,2.4,4,,1,,,,,
9,3.3,4,,1,,,,,
104,2.8,4,,,,,,,
110,2,5,,,,,,,
109,3.4,5,,,,,,,
103,3.2,1,,,,,,,
79,3,,,,,,,,
40,3.3,,,,,,,,
39,3.5,4,,,,,,,
30,1,,,,,,,,
31,5.8,,,,,,,,
121,2.5,,,,,,,,
124,1,,,,,,,,
123,1.5,5,,,,,,,
120,3,3,,,,,1,,
117,4,3,,,,,,,
111,4.2,1,4,,,,,,
105,2.2,,5,,,,,1,
89,3,2,,,,,,2,
62,2.8,,,,,,,,
51,2,,,,,,,,
60,5,,,,,,,,
71,3.3,5,,,,,,,
81,4.5,5,,,,,,,
88,5,,,,,,,,
94,1.5,,,,,,,,
99,2.3,1,,,,,,,
85,2,5,,,,,,,
78,1,3,,,,,,,
77,2.5,4,,,,,,,
76,3,1,4,,,,,,
75,3.4,2,,,,,,,
74,5,,,,,,,,
73,8,,,,,,,,
72,4,,,,1,,,,
83,9,,,,,,,,
84,1.5,,,,,,,2,
91,2.5,,,,,,,1,
97,3,,,,,,,,
102,3,,,,,,,,
108,1,,,,,,,,
114,1,,,,,,,,
119,1.1,,,,,,,,
122,1.5,1,,,,,,,
