fieldname,datasourcemv,lknamemv,newfieldname,taxonomic
zpal,James Johnson,beebe,Zannichellia palustris,Y
zpal,James Johnson,crookneck,Zannichellia palustris,Y
zpal,James Johnson,fish,Zannichellia palustris,Y
zpal,James Johnson,grey cloud slough,Zannichellia palustris,Y
zpal,James Johnson,howard,Zannichellia palustris,Y
zpal,James Johnson,julia,Zannichellia palustris,Y
zpal,James Johnson,louisa,Zannichellia palustris,Y
zpal,James Johnson,marie,Zannichellia palustris,Y
zpal,James Johnson,north arm,Zannichellia palustris,Y
zpal,James Johnson,rebecca,Zannichellia palustris,Y
zpal,James Johnson,rice,Zannichellia palustris,Y
zpal,James Johnson,riley,Zannichellia palustris,Y
zpal,James Johnson,rush,Zannichellia palustris,Y
zpal,James Johnson,southeast anderson,Zannichellia palustris,Y
zpal,James Johnson,susan,Zannichellia palustris,Y
zpal,James Johnson,vails,Zannichellia palustris,Y
zpal,James Johnson,weaver,Zannichellia palustris,Y
zpal,James Johnson,wilmes,Zannichellia palustris,Y
zpal,Jill Sweet,s. lundsten,Zannichellia palustris,Y
zpal,newman,blueberry,Zannichellia palustris,Y
zpal,newman,clearm,Zannichellia palustris,Y
zpal,newman,crookneck,Zannichellia palustris,Y
zpal,newman,fish,Zannichellia palustris,Y
zpal,newman,julia,Zannichellia palustris,Y
zpal,newman,longi,Zannichellia palustris,Y
zpal,newman,lowermission,Zannichellia palustris,Y
zpal,newman,lucy,Zannichellia palustris,Y
zpal,newman,mitchell,Zannichellia palustris,Y
zpal,newman,riley,Zannichellia palustris,Y
zpal,newman,silver,Zannichellia palustris,Y
zpal,newman,staring,Zannichellia palustris,Y
zpal,newman,susan,Zannichellia palustris,Y
zpal,newman,vails,Zannichellia palustris,Y
zpal,newman,weaver,Zannichellia palustris,Y
zp,dustin,madison,Ambiguous Zannichellia palustris or Zizania palustris please comment,Y
zostrella_dubia,sblood,kohlman,Heteranthera dubia,Y
zosterella_sp,alexadd,alexadd,Heteranthera sp,Y
