newfieldname,CommonName
acorus_americanus,Sweet flag
acorus_sp,Sweet flags
algae,Algae
alisma_gramineum,Narrow-leaved water plantain
alisma_sp,Water-plantains
alisma_trivale,Northern water plantain
alisma_triviale,Common water plantain
alnus_glutinosa,European alder
alnus_sp,Alders
aquatic_moss,Aquatic mosses
andromeda_polifolia,Bog rosemary
asclepias_incarnata,Swamp milkweed
asteraceae_taxa,Asters
azolla_microphylla,Mexican mosquito fern
betula_pumila,Bog birch
bidens_beckii,Water marigold
bidens_cernua,Nodding beggartick
bidens_sp,Tickseeds
bolboschoenus_fluviatilis,River bulrush
bolboschoenus_maritimus,Prairie bulrush
boltonia_asteroides,False aster
brasenia_schreberi,Watershield
butomus_umbellatus,Flowering rush
cabomba_caroliniana,Fanwort
calamagrostis_canadensis,Bluejoint
calla_palustris,Wild calla
callitriche_hermaphroditica,Autumn water starwort
callitriche_heterophylla,Larger water starwort
callitriche_palustris,Spring water starwort
callitriche_sp,Water-starworts
caltha_palustris,Common marsh marigold
carex_aquatilis,Water sedge
carex_comosa,Bristly sedge
carex_lacustris,Lake sedge
carex_pellita,Woolly sedge
carex_scoparia,Broom sedge
carex_sp,Sedge species
carex_stricta,Tussock sedge
ceratophyllum_demersum,Common coontail
ceratophyllum_echinatum,Spiny coontail
ceratophyllum_sp,Hornworts
chamaedaphne_calyculata,Leatherleaf
chara_braunii,Braun's stonewort
chara_canescens,Bearded stonewort
chara_contraria,Conflicting stonewort
chara_globularis,Fragile stonewort
chara_sp,Muskgrasses
characeae,Stonewort family
characeae_taxa,Muskgrasses
cicuta_maculata,Water hemlock
cicuta_sp,Water-hemlocks
cirsium_palustre,Marsh thistle
comarum_palustre,Purple marshlocks
conium_maculatum,Poison hemlock
crassula_helmsii,Swamp stonecrop
cyanobacteria,Cyanobacteria
cyperaceae_sp,Sedge family
cyperaceae_taxa,Sedges
cyperus_sp,Nutsedges
decodon_verticillatus,Waterwillow
drepanocladus_aduncus,Kneiff's hook-moss
drepanocladus_sp,Drepanocladus mosses
dulichium_arundinaceum,Threeway sedge
egeria_densa,Brazilian waterweed
eichhornia_crassipes,Common Water-hyacinth
elatine_minima,Small waterwort
elatine_sp,Waterworts
elatine_triandra,Three-stamened waterwort
eleocharis_acicularis,Least spikerush
eleocharis_erythropoda,Bald spikerush
eleocharis_palustris,Creeping spike rush
eleocharis_palustris,Marsh spikerush
eleocharis_robbinsii,Robbins' spikerush
eleocharis_sp,Spikerushes
elodea_bifoliata,Two leaf waterweed
elodea_canadensis,Common waterweed
elodea_densa,Canadian waterweed
elodea_nuttallii,Nuttall's elodea
elodea_sp,Waterweeds
epilobium_hirsutum,Codlins and cream
