 Point,Depth,Nymphea odorata   (White Water Lily) ,Nuphar advena  (Yellow Water Lily),Myriophyllum spicatum (Eurasian Water Milfoil),Myriophyllum exalbescens (Northern Water Milfoil),Ceratophyllum echinatum  (Coontail),Potamogeton crispus (Curly Leaf Pondweed),Potamogeton foliosus  (Leafy Pondweed),Potamogeton zosteriformis (Flatstem Pondweed)
0,2.4,2,,3,,,,,
1,2,3,,,,,,,
2,2.1,2,,,,,,,
4,2.3,3,,,,,,,
5,2.3,3,,,,,,,
6,2.8,4,,,,,,,
8,1.5,3,1,2,,,,,
9,3.3,3,,2,,,,,
11,3.3,2,,,,,,,
12,3.8,3,,,,,,,
13,1.3,1,,,,,,,
14,2,4,,,,,,,
15,3,4,,,,,,,
16,2.5,,1,,,,,,
17,4.5,,,,,,,,
21,1.5,1,,,,,,,
22,2.6,1,3,,,,,,
24,4,,,,,,,,
29,2.3,0,0,,,,,,
30,1,1,,,,,,,
31,5.8,,,,,,,,
38,1.3,,,,,,,,
39,3.5,2,,,,,,,
40,3.3,,,,,,,,
48,1.5,2,,,,,,,
51,2,,,,,,,,
57,3.8,,,,,,,,
58,1.9,4,1,,,,,,
60,5,,,,,,,,
62,2.8,,,,,,,,
67,4,1,,,,,,,
68,2,2,,,,,,,
71,3.3,4,,,,,,,
72,4,1,,,,,,,
73,8,,,,,,,,
74,5,,,,,,,,
75,3.4,2,,,,,,,
76,3,1,2,,,,,,
77,2.5,3,1,,,,,,
78,1,1,,,,,,,
79,3,2,,,,,,,
81,4.5,,2,,,,,,
83,9,,,,,,,,
84,1.5,,,,,,,,
85,2,4,,,,,,,
88,5,,,,,,,,
89,3,1,1,,,,,,
91,2.5,,,,,,,,
92,3,,,,,,,,
86,2.5,,,,,,,,
94,1.5,,,,,,,,
97,3,,,,,,,,
99,2.3,,,,,,,,
102,3,,,,,,,,
103,3.2,,,,,,,,
104,2.8,,,,,,,,
105,2.2,1,2,,,,,,
108,1,,1,,,,,,
109,3.4,4,,,,,,,
110,2,4,1,,,,,,
111,4.2,2,1,,,,,,
114,1,,,,,,,,
117,4,,,,,,,,
119,1.1,,,,,,,,
120,3,2,,,,,,,
121,2.5,,,,,,,,
122,1.5,2,,,,,,,
123,1.5,3,,,,,,,
124,1,,,,,,,,
95,1.5,1,,,,,,,
100,4.5,1,1,,,,,,
