"SUBMITTER_NAME","SUBMITTER_EMAIL","DOW","SURVEY_START","RAKE_MAX","SUBMIT_TIME","SURVEYORS","sta_nbr","ceratophyllum_demersum","depth_ft","potamogeton_crispus","elodea_canadensis","stuckenia_pectinata","lemna_trisulca","nymphaea_odorata","myriophyllum_spicatum","chara_sp","potamogeton_illinoensis","potamogeton_zosteriformis","vallisneria_americana","potamogeton_praelongus","potamogeton_richardsonii","najas_flexilis","heteranthera_dubia","spirodela_polyrrhiza","lemna_minor","nuphar_variegata","algae","subbasin","potamogeton_nodosus","wolffia_sp","potamogeton_foliosus","ranunculus_aquatilis","potamogeton_pusillus","myriophyllum_sibiricum","nelumbo_lutea","utricularia_vulgaris","brasenia_schreberi","najas_guadalupensis","lemna_sp","najas_sp","latitude","longitude","potamogeton_gramineus","lake_name","utricularia_sp","wolffia_columbiana","nuphar_advena","eleocharis_acicularis","characeae_taxa","spirogyra_sp","lemnaceae_taxa","NA_STA_NBR","DUPE_STA_NBR","MISSING_LAT","MISSING_LONG"
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","1","1","1.64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9839867111818,-93.1424641959476,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","2","1","3.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9834174454809,-93.1425617838731,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","3","1","1.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9837507019438,-93.1414572133379,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","4","1","1.31","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9828710754172,-93.1426986911799,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","5",NA,"4.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9831567477043,-93.1417250057771,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","6","1","6.89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9834424113558,-93.1407513177829,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","7","1","3.94","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9824992752868,-93.1421197383061,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","8","1","3.94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9828266177183,-93.1410879019419,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","9","3","3.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9817992084328,-93.1427219735751,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Capitol Region Watershed District","eoneill@capitolregionwd.org","62005500","2024-07-09","5","2025-01-09 08:48:18.053975","Justin Townsend","10",NA,"5.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9820848735371,-93.1417483125423,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
