"SUBMITTER_NAME","SUBMITTER_EMAIL","DOW","SURVEY_START","RAKE_MAX","SUBMIT_TIME","SURVEYORS","sta_nbr","ceratophyllum_demersum","depth_ft","potamogeton_crispus","elodea_canadensis","stuckenia_pectinata","lemna_trisulca","nymphaea_odorata","myriophyllum_spicatum","chara_sp","potamogeton_illinoensis","potamogeton_zosteriformis","vallisneria_americana","potamogeton_praelongus","potamogeton_richardsonii","najas_flexilis","heteranthera_dubia","spirodela_polyrrhiza","lemna_minor","nuphar_variegata","algae","potamogeton_nodosus","wolffia_sp","potamogeton_foliosus","nitella_sp","myriophyllum_sibiricum","potamogeton_amplifolius","zannichellia_palustris","utricularia_vulgaris","najas_guadalupensis","chara_globularis","lemna_sp","typha_sp","typha_angustifolia","latitude","longitude","aquatic_moss","potamogeton_friesii","potamogeton_gramineus","sagittaria_sp","lake_name","sparganium_sp","unk_sp","wolffia_columbiana","eleocharis_acicularis","scirpus_sp","stuckenia_filiformis","ranunculus_sceleratus","substrate","persicaria_amphibia","iris_versicolor","iris_sp","sta_nbr.1","sta_nbr.2","utricularia_minor","riccia_sp","nitella_furcata","DUPE_STA_NBR","MISSING_LAT","MISSING_LONG"
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","76",NA,NA,"X",NA,"4",NA,"X",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,"2",NA,NA,NA,NA,44.7839544169636,-93.9683261881922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","77","2",NA,NA,NA,"X",NA,"X",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,44.7839747539489,-93.9659248393837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","78",NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","3",NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,44.7839849035099,-93.9647241640258,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","79",NA,NA,NA,NA,"2",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,44.7839950404498,-93.9635234880333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","80","2",NA,NA,NA,"4",NA,"X",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,"2",NA,"2",NA,NA,NA,NA,44.784799322394,-93.9695411754262,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","81",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,"2",NA,NA,NA,NA,44.7848196852251,-93.9671397924517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","82","2",NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"2",NA,NA,NA,NA,NA,NA,44.7848298477085,-93.9659391000096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","83",NA,NA,NA,NA,"3",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7848399975705,-93.9647384069321,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","84",NA,NA,"2",NA,"3",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"X",NA,NA,NA,"3",NA,NA,NA,NA,44.784850134811,-93.9635377132198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Carver County Water Management Organization","aedgcumbe@carvercountymn.gov","10010800","2024-10-04","4","2025-01-10 11:12:24.358195","Andrew Edgcumbe, Abby Janey","85","3",NA,NA,NA,"3",NA,"X",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,NA,"X",NA,"3",NA,NA,NA,NA,44.78486025943,-93.9623370188736,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
