"SUBMITTER_NAME","SUBMITTER_EMAIL","DOW","SURVEY_START","RAKE_MAX","SUBMIT_TIME","SURVEYORS","sta_nbr","whole_rake_density","ceratophyllum_demersum","depth_ft","potamogeton_crispus","elodea_canadensis","stuckenia_pectinata","lemna_trisulca","nymphaea_odorata","myriophyllum_spicatum","chara_sp","potamogeton_natans","potamogeton_illinoensis","potamogeton_zosteriformis","vallisneria_americana","potamogeton_praelongus","potamogeton_richardsonii","najas_flexilis","heteranthera_dubia","spirodela_polyrrhiza","lemna_minor","nuphar_variegata","subbasin","potamogeton_robbinsii","potamogeton_nodosus","wolffia_sp","potamogeton_foliosus","ranunculus_aquatilis","potamogeton_pusillus","nitella_sp","myriophyllum_sibiricum","potamogeton_amplifolius","nelumbo_lutea","zannichellia_palustris","utricularia_vulgaris","brasenia_schreberi","najas_guadalupensis","typha_sp","lythrum_salicaria","latitude","longitude","aquatic_moss","potamogeton_friesii","potamogeton_gramineus","sagittaria_sp","lake_name","bidens_beckii","sparganium_sp","zizania_sp","wolffia_columbiana","plant_height","eleocharis_acicularis","schoenoplectus_acutus","sagittaria_latifolia","phragmites_australis","sagittaria_graminea","drepanocladus_sp","sparganium_eurycarpum","ceratophyllum_echinatum","utricularia_minor","riccia_sp","potamogeton_strictifolius","myriophyllum_verticillatum","surface_growth","equisetum_fluviatile","fontinalis_antipyretica","heteranthera_dubia.1","utricularia_geminiscapa","nuphar_sp","nymphaea_sp","multipartsurvey","percent_biovolume","plant_height.1","persicaria_amphibia.1","ranunculus_aquatilis.1","NA_STA_NBR","DUPE_STA_NBR","MISSING_LAT","MISSING_LONG"
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13586",NA,"2","1.6","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.84948,-93.52529,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13587",NA,"3","3.3","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.84994,-93.52276,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13588",NA,"1","3.3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85178,-93.51519,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13589",NA,"2","2.6","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85178,-93.51455,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13590",NA,"2","1","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.85219,-93.52405,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13591",NA,"1","1.3","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",44.85219,-93.52342,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13592",NA,"1","0.7","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",44.85219,-93.52278,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13593",NA,"3","3.3","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",44.8522,-93.52215,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13594",NA,"3","3.6","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.8522,-93.52152,NA,"0","0","0","ricemarsh","0","0","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"Freshwater Scientific Services",NA,"10000100","2017-08-07","4",NA,"James Johnson","13595",NA,"3","3.9","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44.8522,-93.52089,NA,"0","0","0","ricemarsh","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",0,NA,0,"0","0",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
