"SUBMITTER_NAME","SUBMITTER_EMAIL","DOW","SURVEY_START","RAKE_MAX","SUBMIT_TIME","SURVEYORS","sta_nbr","ceratophyllum_demersum","depth_ft","potamogeton_crispus","elodea_canadensis","stuckenia_pectinata","lemna_trisulca","nymphaea_odorata","myriophyllum_spicatum","chara_sp","potamogeton_illinoensis","potamogeton_zosteriformis","vallisneria_americana","potamogeton_praelongus","potamogeton_richardsonii","najas_flexilis","heteranthera_dubia","spirodela_polyrrhiza","lemna_minor","nuphar_variegata","algae","subbasin","potamogeton_robbinsii","potamogeton_nodosus","wolffia_sp","potamogeton_foliosus","ranunculus_aquatilis","potamogeton_pusillus","myriophyllum_sibiricum","potamogeton_amplifolius","brasenia_schreberi","lemna_sp","najas_sp","latitude","longitude","eleocharis_acicularis","utricularia_macrorhiza","nitella_mucronata","myriophyllum_spicatum_x_sibiricum","riccia_fluitans","characeae_taxa","MISSING_LAT","MISSING_LONG"
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","1","3","1.31",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1265218893942,-93.0530425827301,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","2","3","0.98",NA,"2",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1263138799702,-93.0521953278961,NA,NA,"2",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","3","3","0.66",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1265225878819,-93.0515166742941,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","4",NA,"1.64",NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.127061635851,-93.0538060446782,NA,NA,"3",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","5","3","2.3",NA,"1",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1270623445455,-93.0522801218706,NA,NA,"1",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","6",NA,"0.33",NA,"2",NA,NA,NA,"2",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1270630328526,-93.0507541990073,NA,NA,"2",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","7",NA,"1.64",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1276013771462,-93.0545695210261,NA,NA,"3",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","8","2","2.62",NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1276020960479,-93.053043583847,NA,NA,"3",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","9",NA,"2.3",NA,"3",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1276027945618,-93.0515176466113,NA,NA,"3",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","10",NA,"0.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.128140363782,-93.0568589632659,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","11","2","1.97",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1281411132795,-93.0553330117743,NA,NA,"3",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","12",NA,"2.3",NA,NA,"1",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1281418423888,-93.0538070602236,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","13","2","2.3",NA,"1","1",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1281425511099,-93.0522811086156,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","14",NA,"2.3",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1281432394428,-93.0507551569517,NA,NA,"3",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","15",NA,"0.98",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1286800845448,-93.0576224827855,NA,NA,"2",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","16",NA,"1.31",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1286808442506,-93.0560965169232,NA,NA,"1",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","17",NA,"2.3",NA,"1",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1286815835679,-93.0545705510009,NA,NA,"2",NA,NA,NA,FALSE,FALSE
"Ramsey County Parks and Recreation","alexis.lipstein@co.ramsey.mn.us","61006400","2021-07-29","3","2025-02-10 10:22:03.939497","Unnamed hardworking surveyor(s)","18",NA,"2.62",NA,NA,NA,NA,NA,"1","2",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1286823024965,-93.0530445850205,NA,NA,"1",NA,NA,NA,FALSE,FALSE
