"SUBMITTER_NAME","SUBMITTER_EMAIL","DOW","SURVEY_START","RAKE_MAX","SUBMIT_TIME","SURVEYORS","sta_nbr","ceratophyllum_demersum","depth_ft","potamogeton_crispus","elodea_canadensis","stuckenia_pectinata","lemna_trisulca","nymphaea_odorata","myriophyllum_spicatum","chara_sp","potamogeton_illinoensis","potamogeton_zosteriformis","vallisneria_americana","potamogeton_praelongus","potamogeton_richardsonii","najas_flexilis","heteranthera_dubia","fontinalis_sp","spirodela_polyrrhiza","lemna_minor","nuphar_variegata","algae","subbasin","potamogeton_nodosus","wolffia_sp","potamogeton_foliosus","potamogeton_sp","ranunculus_aquatilis","potamogeton_pusillus","nitella_sp","myriophyllum_sibiricum","elodea_sp","potamogeton_amplifolius","nelumbo_lutea","zannichellia_palustris","brasenia_schreberi","najas_guadalupensis","typha_sp","najas_sp","latitude","longitude","potamogeton_epihydrus","lake_name","utricularia_sp","unk_sp","wolffia_columbiana","nuphar_advena","no_veg_found","potamogeton_perfoliatus","substrate","potamogeton_obtusifolius","phalaris_arundinacea","unk_sp.1","algae.1","nuphar_sp","nymphaea_sp","eleocharis_sp","poaceae_taxa","potamogeton_diversifolius","spirodela_sp","vallisneria_sp","potamogeton_sp.1","spirodela_polyrrhiza.1","DUPE_STA_NBR","MISSING_LAT","MISSING_LONG"
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","1","2","3.28084",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9040687407219,-92.9827002238611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","2",NA,"6.233596",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9040686029677,-92.9818135497718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","3","4","6.233596",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9046990170589,-92.9835867186502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","4",NA,"14.435696",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9046988861859,-92.9827000348682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","5",NA,"25.262468",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9046987484287,-92.9818133510923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","6","2","20.013124",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9046986037875,-92.980926667323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","7","1","5.905512",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9046984522621,-92.9800399835605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","8","3","0.656168",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,44.9046982938526,-92.9791532998052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","9","3","3.28084","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9053292864476,-92.9844732328127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","10","2","5.577428",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,44.905329162456,-92.9835865393379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","11",NA,"17.388452",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9053290315801,-92.982699845869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","12",NA,"21.32546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9053288938199,-92.9818131524063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","13",NA,"19.028872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9053287491755,-92.9809264589501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","14",NA,"28.871392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9053285976468,-92.9800397655007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","15",NA,"27.559056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9053284392338,-92.9791530720586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","16","2","8.858268",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9059593077832,-92.9835863600197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","17",NA,"22.309712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9059591769045,-92.9826996568636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","18",NA,"29.855644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9059590391413,-92.9818129537137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","19",NA,"31.16798",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9059588944937,-92.9809262505703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","20",NA,"32.8084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9059587429617,-92.9800395474338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","21",NA,"24.278216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9059585845453,-92.9791528443044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"Ramsey-Washington Metro Watershed District","joe.tillotson@rwmwd.org","82016600","2024-07-25","4","2025-02-18 11:39:41.803308","Rebecca Oldenburg-Downing, Abbey Hauge","22","2","8.2021",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9059584192444,-92.9782661411826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
