SUBMITTER_NAME,SUBMITTER_EMAIL,DOW,SURVEY_START,RAKE_MAX,SUBMIT_TIME,SURVEYORS,sta_nbr,whole_rake_density,ceratophyllum_demersum,depth_ft,potamogeton_crispus,elodea_canadensis,stuckenia_pectinata,lemna_trisulca,nymphaea_odorata,nitellopsis_obtusa,myriophyllum_spicatum,chara_sp,potamogeton_natans,potamogeton_illinoensis,potamogeton_zosteriformis,vallisneria_americana,potamogeton_praelongus,potamogeton_richardsonii,najas_flexilis,heteranthera_dubia,fontinalis_sp,spirodela_polyrrhiza,lemna_minor,nuphar_variegata,algae,subbasin,potamogeton_robbinsii,potamogeton_nodosus,wolffia_sp,potamogeton_foliosus,tolypella_intricata,potamogeton_sp,ranunculus_aquatilis,potamogeton_pusillus,nitella_sp,myriophyllum_sibiricum,elodea_sp,potamogeton_amplifolius,nelumbo_lutea,zannichellia_palustris,utricularia_vulgaris,brasenia_schreberi,najas_guadalupensis,utricularia_gibba,elodea_nuttallii,chara_globularis,typha_sp,najas_sp,latitude,longitude,potamogeton_amplifolius.1,aquatic_moss,nitella_flexilis,veronica_catenata,schoenoplectus_tabernaemontani,potamogeton_friesii,utricularia_intermedia,potamogeton_gramineus,sagittaria_sp,lake_name,bidens_beckii,utricularia_sp,zizania_palustris,lychnothamnus_barbatus,zizania_sp,wolffia_columbiana,nuphar_advena,azolla_microphylla,utricularia_macrorhiza,scirpus_sp,sagittaria_latifolia,stuckenia_filiformis,cladophora_sp,persicaria_amphibia,bolboschoenus_fluviatilis,nymphaea_sp,multipartsurvey,potamogeton_sp.1,NA_STA_NBR,DUPE_STA_NBR,MISSING_LAT,MISSING_LONG
Three Rivers Park District,justin.valenty@threeriversparks.org,27015200,9/17/2018,5,02:36.1,"Justin Valenty, Unnamed hardworking surveyor(s)",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE
Three Rivers Park District,justin.valenty@threeriversparks.org,27015200,9/17/2018,5,02:36.1,"Justin Valenty, Unnamed hardworking surveyor(s)",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE
Three Rivers Park District,justin.valenty@threeriversparks.org,27015200,9/17/2018,5,02:36.1,"Justin Valenty, Unnamed hardworking surveyor(s)",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE
Three Rivers Park District,justin.valenty@threeriversparks.org,27015200,9/17/2018,5,02:36.1,"Justin Valenty, Unnamed hardworking surveyor(s)",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE
Three Rivers Park District,justin.valenty@threeriversparks.org,27015200,9/17/2018,5,02:36.1,"Justin Valenty, Unnamed hardworking surveyor(s)",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE
Three Rivers Park District,justin.valenty@threeriversparks.org,27015200,9/17/2018,5,02:36.1,"Justin Valenty, Unnamed hardworking surveyor(s)",6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE
Three Rivers Park District,justin.valenty@threeriversparks.org,27015200,9/17/2018,5,02:36.1,"Justin Valenty, Unnamed hardworking surveyor(s)",7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE
Three Rivers Park District,justin.valenty@threeriversparks.org,27015200,9/17/2018,5,02:36.1,"Justin Valenty, Unnamed hardworking surveyor(s)",8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE
Three Rivers Park District,justin.valenty@threeriversparks.org,27015200,9/17/2018,5,02:36.1,"Justin Valenty, Unnamed hardworking surveyor(s)",9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE
Three Rivers Park District,justin.valenty@threeriversparks.org,27015200,9/17/2018,5,02:36.1,"Justin Valenty, Unnamed hardworking surveyor(s)",10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE
