fw_id,dowlknum,pw_basin_n,pw_parent_,pw_sub_nam,sub_flag,wb_class,lake_class,acres.x,shore_mi,center_utm,center_u_1,cty_name,dnr_region,fsh_office,outside_mn,delineated,delineatio,delineat_1,delineat_2,approved_b,approval_d,approval_n,has_flag,flag_type,publish_da,lksdb_basi,has_wld_fl,wld_flag_t,unique_id,created_us,created_da,last_edite,last_edi_1,ow_use,pwi_class,map_displa,map_label,shape_Leng,shape_Area,INSIDE_X,INSIDE_Y,in_lakefin,dow_main,order_ID,major,major_name,acres.y,sq_miles,prod_year,source,HUC_8,Shape_Leng,Shape_Area,DOW,LAKE_NAME,nyears,nsurveys,surveylist,datasource,ntaxa,taxalist,surveyorlist
9853,01001600,Little Prairie,Little Prairie,,X,Lake or Pond,0,72.64375287,1.27775129,492017.309676,5184697.51182,Aitkin,2,,N,,,DNR 24k POLYS,,,,,,,2022-03-31,1200,,,160197,,,DNRHYDRO,2022-03-25,Y,P,Y,Little Prairie,2056.34547808,293978.837864,492017.309677,5184697.51182,Y,1001600,16369,9,Mississippi River - Grand Rapids,1332793,2082,2009,DNR Catchment Dataset,07010103,729194.100797,5393643590.3,1001600,little prairie,1,1,2011-08-16,DNR Shallow Lakes,12,"Ceratophyllum demersum, Vallisneria americana, Drepanocladus, Potamogeton robbinsii, Carex, Equisetum, Nuphar variegata, Potentilla palustris, Sagittaria, Sparganium (floating), Nymphaea odorata, Typha angustifolia",NA
2192,01003400,Horseshoe,Horseshoe,,X,Lake or Pond,39,240.06318523,3.72298339,483970.301396,5173669.42367,Aitkin,2,Aitkin,N,FSH,2007-04-05,2004 FSA,Re-delineation by DNR Fisheries staff,,,,Y,"FSW, SVY",2022-03-31,1335,,,11506,,,DNRHYDRO,2022-03-25,Y,P,Y,Horseshoe,5991.57295837,971501.242917,483970.301396,5173669.42367,Y,1003400,16343,9,Mississippi River - Grand Rapids,1332793,2082,2009,DNR Catchment Dataset,07010103,729194.100797,5393643590.3,1003400,horseshoe,1,1,2011-08-10,DNR Shallow Lakes,15,"Drepanocladus, Nuphar variegata, Nymphaea odorata, Potamogeton zosteriformis, Zizania palustris, Schoenoplectus acutus, Sparganium (floating), Vallisneria americana, Ceratophyllum demersum, Potamogeton praelongus, Brasenia schreberi, Utricularia vulgaris, Potamogeton natans, Myriophyllum sibiricum, Pontederia cordata",NA
10268,01003500,Mud,Mud,,X,Lake or Pond,0,47.90321935,1.2363771,479139.66469,5170764.82692,Aitkin,2,,N,USGS,2004-07-08,ORIG DLG,Original USGS/DLG delineation,,,,,,2022-03-31,1336,,,11364,,,DNRHYDRO,2022-03-25,Y,P,Y,Mud,1989.76004573,193857.450892,479139.66469,5170764.82692,Y,1003500,16671,9,Mississippi River - Grand Rapids,1332793,2082,2009,DNR Catchment Dataset,07010103,729194.100797,5393643590.3,1003500,mud,1,1,2014-07-17,DNR Shallow Lakes,24,"Nymphaea odorata, Pontederia cordata, Sagittaria, Schoenoplectus subterminalis, Utricularia vulgaris, Brasenia schreberi, Potamogeton amplifolius, Potamogeton natans, Drepanocladus, Vallisneria americana, Ceratophyllum demersum, Potamogeton zosteriformis, Carex, Eleocharis, Nitella, Najas flexilis, Potamogeton illinoensis, Potamogeton gramineus, Zizania palustris, Chara, Nuphar variegata, Typha angustifolia, Utricularia intermedia, Sparganium (emergent)",NA
2017,01005300,Rat House,Rat House,,X,Lake or Pond,37,110.19554734,1.81372305,482831.954556,5190458.15256,Aitkin,2,Aitkin,N,FSH,2007-02-21,2004 FSA,Re-delineation by DNR Fisheries staff,,,,Y,SVY,2022-03-31,1354,,,11540,,,DNRHYDRO,2022-03-25,Y,P,Y,Rat House,2918.91015174,445945.558491,482831.954556,5190458.15256,Y,1005300,16418,9,Mississippi River - Grand Rapids,1332793,2082,2009,DNR Catchment Dataset,07010103,729194.100797,5393643590.3,1005300,rat house,1,1,2014-06-25,DNR Shallow Lakes,14,"Ceratophyllum demersum, Potamogeton robbinsii, Zizania palustris, Nymphaea odorata, Potamogeton natans, Nuphar variegata, Pontederia cordata, Nymphaeaceae, Potamogeton zosteriformis, Utricularia vulgaris, Calla palustris, Carex, Sagittaria, Typha angustifolia",NA
10165,01006000,Sandy River,Sandy River,,X,Lake or Pond,0,333.86304888,4.99889885,475720.196412,5174088.82803,Aitkin,2,,N,FSH,2006-08-21,2004 FSA,Re-delineation by DNR Fisheries staff,,,,,,2022-03-31,1363,,,11317,,,DNRHYDRO,2022-03-25,Y,P,Y,Sandy River,8044.9639572,1351095.82358,475328.9027,5174043.5536,Y,1006000,16689,9,Mississippi River - Grand Rapids,1332793,2082,2009,DNR Catchment Dataset,07010103,729194.100797,5393643590.3,1006000,sandy river,1,1,2009-07-15,DNR Shallow Lakes,15,"Nymphaea odorata, Potamogeton zosteriformis, Sagittaria cuneata, Zizania palustris, Bidens beckii, Drepanocladus, Vallisneria americana, Nuphar variegata, Potamogeton richardsonii, Sagittaria, Ceratophyllum demersum, Potamogeton natans, Potamogeton praelongus, Myriophyllum sibiricum, Utricularia vulgaris",NA
2197,01006100,Flowage,Flowage,,X,Lake or Pond,39,731.1673688,11.66074179,475049.428288,5171750.94788,Aitkin,2,Aitkin,N,FSH,2006-08-10,2004 FSA,Re-delineation by DNR Fisheries staff,,,,Y,SVY,2022-03-31,1364,,,11534,,,DNRHYDRO,2022-03-25,Y,P,Y,Flowage,18766.1823743,2958929.36228,475049.428288,5171750.94788,Y,1006100,16770,9,Mississippi River - Grand Rapids,1332793,2082,2009,DNR Catchment Dataset,07010103,729194.100797,5393643590.3,1006100,flowage,1,1,2011-07-29,DNR Shallow Lakes,15,"Carex, Nymphaea odorata, Potamogeton natans, Vallisneria americana, Ceratophyllum demersum, Nuphar variegata, Potamogeton zosteriformis, Zizania palustris, Bidens beckii, Potamogeton richardsonii, Elodea canadensis, Utricularia vulgaris, Typha angustifolia, Chara, Najas flexilis",NA
2281,01007200,Rock,Rock,,X,Lake or Pond,39,341.47810026,5.3321699,470459.184226,5164338.88777,Aitkin,2,Aitkin,N,FSH,2007-04-05,2004 FSA,Re-delineation by DNR Fisheries staff,,,,Y,SVY,2022-03-31,749,,,10573,,,DNRHYDRO,2022-03-25,Y,P,Y,Rock,8581.31280083,1381912.84314,470459.184226,5164338.88777,Y,1007200,16661,9,Mississippi River - Grand Rapids,1332793,2082,2009,DNR Catchment Dataset,07010103,729194.100797,5393643590.3,1007200,rock,1,1,2011-07-21,DNR Shallow Lakes,23,"Ceratophyllum demersum, Elodea canadensis, Potamogeton praelongus, Potamogeton (narrow), Nymphaea odorata, Zizania palustris, Eleocharis acicularis, Nuphar variegata, Potamogeton zosteriformis, Schoenoplectus acutus, Vallisneria americana, Pontederia cordata, Potamogeton natans, Bidens beckii, Utricularia vulgaris, Myriophyllum sibiricum, Potamogeton amplifolius, Potamogeton friesii, Potamogeton epihydrus, ProtectedSpecies_1, Chara, Potamogeton gramineus, Utricularia minor",NA
2147,01007600,Sanders,Sanders,,X,Lake or Pond,37,34.84375093,0.91714476,469158.171374,5178562.5075,Aitkin,2,Aitkin,N,FSH,2007-04-05,2004 FSA,Re-delineation by DNR Fisheries staff,,,,Y,SVY,2022-03-31,753,,,10796,,,DNRHYDRO,2022-03-25,Y,P,Y,Sanders,1476.0043642,141007.657222,469158.171374,5178562.5075,Y,1007600,16771,9,Mississippi River - Grand Rapids,1332793,2082,2009,DNR Catchment Dataset,07010103,729194.100797,5393643590.3,1007600,sanders,1,1,2011-06-28,DNR Shallow Lakes,8,"Ceratophyllum demersum, Elodea canadensis, Zizania palustris, Potamogeton zosteriformis, Utricularia vulgaris, Potamogeton natans, Schoenoplectus acutus, Nuphar variegata",NA
10047,01008000,Libby,Libby,,X,Lake or Pond,0,71.77108425,1.53739088,472473.020577,5179831.44428,Aitkin,2,,N,,,DNR 24k POLYS,,,,,,,2022-03-31,757,,,160092,,,DNRHYDRO,2022-03-25,Y,P,Y,Libby,2474.19402927,290447.27322,472473.020546,5179831.44429,Y,1008000,16675,9,Mississippi River - Grand Rapids,1332793,2082,2009,DNR Catchment Dataset,07010103,729194.100797,5393643590.3,1008000,libby,1,1,2011-08-03,DNR Shallow Lakes,22,"Brasenia schreberi, Nuphar variegata, Nymphaea odorata, Potamogeton epihydrus, Potamogeton gramineus, Sparganium (floating), Potamogeton illinoensis, Drepanocladus, Utricularia intermedia, Sagittaria, Utricularia vulgaris, Schoenoplectus subterminalis, Potamogeton robbinsii, Utricularia, Carex, Iris, Potentilla palustris, Typha angustifolia, Schoenoplectus pungens, Sparganium (emergent), Utricularia minor, Ceratophyllum demersum",NA
2539,01008500,Twenty,Twenty,,X,Lake or Pond,37,123.22284516,2.47686666,459330.632047,5135169.47689,Aitkin,2,Aitkin,N,FSH,2007-04-05,2004 FSA,Re-delineation by DNR Fisheries staff,,,,Y,SVY,2022-03-31,762,,,10445,,,DNRHYDRO,2022-03-25,Y,P,Y,Twenty,3986.13846868,498665.162332,459330.632047,5135169.47689,Y,1008500,15559,21,Rum River,1013790,1584,2009,DNR Catchment Dataset,07010207,649505.567668,4102679624.54,1008500,twenty,1,1,2010-06-29,DNR Shallow Lakes,17,"Potamogeton natans, Potamogeton zosteriformis, Utricularia vulgaris, Zizania palustris, Bidens beckii, Nymphaea odorata, Schoenoplectus acutus, Ceratophyllum demersum, Typha angustifolia, Equisetum, Chara, Nuphar variegata, Elodea canadensis, Myriophyllum sibiricum, Eleocharis smallii, Sagittaria, Salix",NA
